"po_id","item_id","supplier_id","quantity_ordered","unit_price","negotiated_price","currency","order_status","defective_units","compliance","payment_terms","order_date","current_stock","reorder_level","lead_time","item_name","item_category","brand","discontinued","supplier_name","country","preferred","rating","rate"
"PO-003862","ITM-00003","SPL-0026",346,"475.77","407.37","USD","Delivered",9,True,"Net 45","2024-03-24",914,126,18,"Item_3","Furniture","Brand_48",False,"Supplier_26","USA",True,5,"1.00"
"PO-004409","ITM-00003","SPL-0050",992,"410.15","370.57","CNY","Delivered",0,True,"Net 30","2024-10-23",914,126,18,"Item_3","Furniture","Brand_48",False,"Supplier_50","India",True,4,"0.13"
"PO-002137","ITM-00003","SPL-0056",862,"369.11","304.26","USD","Delivered",5,True,"Net 60","2022-05-04",914,126,18,"Item_3","Furniture","Brand_48",False,"Supplier_56","China",False,5,"1.00"
"PO-001318","ITM-00003","SPL-0055",257,"460.96","377.34","INR","Partially Delivered",8,True,"Net 45","2021-06-15",914,126,18,"Item_3","Furniture","Brand_48",False,"Supplier_55","India",False,3,"0.01"
"PO-000845","ITM-00004","SPL-0052",160,"259.75","212.26","CNY","Delivered",3,True,"Net 45","2020-12-10",75,122,21,"Item_4","Electronics","Brand_37",False,"Supplier_52","USA",True,3,"0.13"
"PO-004752","ITM-00004","SPL-0010",817,"475.07","413.98","EUR","Delivered",2,True,"Net 45","2025-03-10",75,122,21,"Item_4","Electronics","Brand_37",False,"Supplier_10","China",True,3,"1.14"
"PO-002647","ITM-00004","SPL-0035",752,"316.96","285.96","CNY","Partially Delivered",8,True,"Net 30","2022-11-20",75,122,21,"Item_4","Electronics","Brand_37",False,"Supplier_35","Mexico",True,4,"0.13"
"PO-004543","ITM-00004","SPL-0026",492,"264.53","215.40","CNY","Pending",2,True,"Net 60","2024-12-15",75,122,21,"Item_4","Electronics","Brand_37",False,"Supplier_26","USA",True,5,"0.13"
"PO-003455","ITM-00004","SPL-0018",285,"51.95","51.67","EUR","Delivered",0,True,"Net 60","2023-10-10",75,122,21,"Item_4","Electronics","Brand_37",False,"Supplier_18","Canada",False,1,"1.14"
"PO-000368","ITM-00005","SPL-0048",592,"126.74","122.03","EUR","Cancelled",9,True,"Net 60","2020-05-30",862,66,4,"Item_5","Electronics","Brand_14",False,"Supplier_48","China",True,1,"1.14"
"PO-004198","ITM-00005","SPL-0015",551,"105.14","101.39","CNY","Delivered",6,True,"Net 60","2024-08-03",862,66,4,"Item_5","Electronics","Brand_14",False,"Supplier_15","USA",False,5,"0.13"
"PO-003335","ITM-00005","SPL-0070",668,"141.76","115.40","CNY","Partially Delivered",9,True,"Net 60","2023-08-25",862,66,4,"Item_5","Electronics","Brand_14",False,"Supplier_70","Mexico",False,2,"0.13"
"PO-001597","ITM-00005","SPL-0010",894,"468.70","377.92","MXN","Pending",1,True,"Net 45","2021-10-07",862,66,4,"Item_5","Electronics","Brand_14",False,"Supplier_10","China",True,3,"0.05"
"PO-002901","ITM-00005","SPL-0005",716,"325.80","295.92","USD","Pending",4,True,"Net 30","2023-03-04",862,66,4,"Item_5","Electronics","Brand_14",False,"Supplier_5","India",False,4,"1.00"
"PO-001762","ITM-00005","SPL-0046",325,"16.66","16.54","USD","Pending",2,True,"Net 45","2021-12-11",862,66,4,"Item_5","Electronics","Brand_14",False,"Supplier_46","USA",False,1,"1.00"
"PO-004969","ITM-00005","SPL-0024",298,"171.36","161.24","EUR","Pending",6,True,"Net 45","2025-06-06",862,66,4,"Item_5","Electronics","Brand_14",False,"Supplier_24","Germany",True,3,"1.14"
"PO-000048","ITM-00005","SPL-0017",570,"468.35","467.73","CNY","Cancelled",2,True,"Net 60","2020-01-19",862,66,4,"Item_5","Electronics","Brand_14",False,"Supplier_17","USA",True,3,"0.13"
"PO-002773","ITM-00005","SPL-0097",603,"252.87","213.57","USD","Partially Delivered",5,True,"Net 30","2023-01-11",862,66,4,"Item_5","Electronics","Brand_14",False,"Supplier_97","Germany",True,2,"1.00"
"PO-001260","ITM-00006","SPL-0041",832,"219.89","183.11","CNY","Delivered",6,True,"Net 60","2021-05-24",266,71,26,"Item_6","Furniture","Brand_15",False,"Supplier_41","Germany",True,2,"0.13"
"PO-004847","ITM-00006","SPL-0018",338,"140.40","139.98","CNY","Delivered",4,True,"Net 30","2025-04-17",266,71,26,"Item_6","Furniture","Brand_15",False,"Supplier_18","Canada",False,1,"0.13"
"PO-001746","ITM-00006","SPL-0036",460,"288.60","248.90","CNY","Pending",8,True,"Net 30","2021-12-04",266,71,26,"Item_6","Furniture","Brand_15",False,"Supplier_36","India",True,4,"0.13"
"PO-000544","ITM-00006","SPL-0049",230,"456.51","412.88","INR","Partially Delivered",7,True,"Net 45","2020-08-08",266,71,26,"Item_6","Furniture","Brand_15",False,"Supplier_49","USA",False,2,"0.01"
"PO-003535","ITM-00006","SPL-0038",60,"404.81","362.70","USD","Partially Delivered",3,True,"Net 30","2023-11-10",266,71,26,"Item_6","Furniture","Brand_15",False,"Supplier_38","India",False,4,"1.00"
"PO-004364","ITM-00007","SPL-0080",606,"46.26","38.39","INR","Delivered",2,True,"Net 60","2024-10-07",370,174,13,"Item_7","MRO","Brand_39",False,"Supplier_80","Mexico",False,4,"0.01"
"PO-001532","ITM-00007","SPL-0045",911,"67.89","67.87","EUR","Partially Delivered",0,False,"Net 60","2021-09-10",370,174,13,"Item_7","MRO","Brand_39",False,"Supplier_45","Germany",False,5,"1.14"
"PO-001406","ITM-00007","SPL-0058",431,"438.19","373.66","MXN","Delivered",6,True,"Net 45","2021-07-21",370,174,13,"Item_7","MRO","Brand_39",False,"Supplier_58","Mexico",False,1,"0.05"
"PO-001325","ITM-00007","SPL-0074",676,"243.33","202.05","CNY","Partially Delivered",1,True,"Net 45","2021-06-19",370,174,13,"Item_7","MRO","Brand_39",False,"Supplier_74","Mexico",True,1,"0.13"
"PO-000107","ITM-00007","SPL-0018",435,"452.66","431.00","USD","Partially Delivered",2,True,"Net 45","2020-02-13",370,174,13,"Item_7","MRO","Brand_39",False,"Supplier_18","Canada",False,1,"1.00"
"PO-000477","ITM-00007","SPL-0072",44,"266.81","235.33","EUR","Partially Delivered",4,True,"Net 45","2020-07-12",370,174,13,"Item_7","MRO","Brand_39",False,"Supplier_72","Germany",True,3,"1.14"
"PO-002104","ITM-00008","SPL-0092",855,"84.90","79.72","USD","Cancelled",3,True,"Net 60","2022-04-20",657,195,8,"Item_8","Office Supplies","Brand_46",False,"Supplier_92","China",True,5,"1.00"
"PO-000055","ITM-00008","SPL-0056",899,"314.13","286.23","EUR","Cancelled",6,False,"Net 30","2020-01-22",657,195,8,"Item_8","Office Supplies","Brand_46",False,"Supplier_56","China",False,5,"1.14"
"PO-002018","ITM-00008","SPL-0077",101,"175.33","153.23","CNY","Partially Delivered",6,True,"Net 30","2022-03-18",657,195,8,"Item_8","Office Supplies","Brand_46",False,"Supplier_77","China",True,3,"0.13"
"PO-001250","ITM-00008","SPL-0089",782,"280.65","264.50","USD","Pending",5,True,"Net 45","2021-05-20",657,195,8,"Item_8","Office Supplies","Brand_46",False,"Supplier_89","China",True,1,"1.00"
"PO-000617","ITM-00008","SPL-0093",59,"155.65","143.91","MXN","Pending",7,True,"Net 60","2020-09-08",657,195,8,"Item_8","Office Supplies","Brand_46",False,"Supplier_93","India",False,2,"0.05"
"PO-000765","ITM-00008","SPL-0024",200,"307.46","306.36","INR","Delivered",7,True,"Net 45","2020-11-07",657,195,8,"Item_8","Office Supplies","Brand_46",False,"Supplier_24","Germany",True,3,"0.01"
"PO-004461","ITM-00009","SPL-0058",701,"465.68","404.65","EUR","Pending",5,True,"Net 45","2024-11-12",0,182,28,"Item_9","Furniture","Brand_20",False,"Supplier_58","Mexico",False,1,"1.14"
"PO-004589","ITM-00010","SPL-0038",700,"476.51","462.78","USD","Pending",1,True,"Net 45","2025-01-01",0,115,22,"Item_10","Office Supplies","Brand_29",True,"Supplier_38","India",False,4,"1.00"
"PO-000959","ITM-00010","SPL-0043",344,"59.97","55.58","MXN","Cancelled",4,False,"Net 45","2021-01-23",0,115,22,"Item_10","Office Supplies","Brand_29",True,"Supplier_43","USA",True,2,"0.05"
"PO-000124","ITM-00010","SPL-0087",601,"404.86","373.46","CNY","Partially Delivered",5,True,"Net 30","2020-02-20",0,115,22,"Item_10","Office Supplies","Brand_29",True,"Supplier_87","Mexico",True,2,"0.13"
"PO-004838","ITM-00010","SPL-0069",991,"383.07","363.12","CNY","Delivered",1,True,"Net 45","2025-04-13",0,115,22,"Item_10","Office Supplies","Brand_29",True,"Supplier_69","Mexico",False,3,"0.13"
"PO-000097","ITM-00011","SPL-0045",452,"83.78","75.64","USD","Partially Delivered",7,True,"Net 30","2020-02-09",130,86,26,"Item_11","Packaging","Brand_23",False,"Supplier_45","Germany",False,5,"1.00"
"PO-000879","ITM-00011","SPL-0095",264,"312.13","252.62","USD","Pending",5,True,"Net 30","2020-12-23",130,86,26,"Item_11","Packaging","Brand_23",False,"Supplier_95","Canada",False,2,"1.00"
"PO-004394","ITM-00011","SPL-0046",338,"243.53","202.99","INR","Partially Delivered",5,True,"Net 30","2024-10-17",130,86,26,"Item_11","Packaging","Brand_23",False,"Supplier_46","USA",False,1,"0.01"
"PO-002575","ITM-00012","SPL-0043",348,"428.77","378.44","EUR","Cancelled",7,True,"Net 60","2022-10-24",429,144,21,"Item_12","Packaging","Brand_37",False,"Supplier_43","USA",True,2,"1.14"
"PO-003159","ITM-00012","SPL-0001",103,"481.72","419.70","INR","Delivered",2,True,"Net 45","2023-06-15",429,144,21,"Item_12","Packaging","Brand_37",False,"Supplier_1","Mexico",False,3,"0.01"
"PO-004966","ITM-00012","SPL-0068",149,"433.33","408.41","MXN","Partially Delivered",1,True,"Net 30","2025-06-05",429,144,21,"Item_12","Packaging","Brand_37",False,"Supplier_68","Germany",True,4,"0.05"
"PO-003661","ITM-00012","SPL-0003",725,"301.15","264.12","INR","Cancelled",1,True,"Net 45","2024-01-01",429,144,21,"Item_12","Packaging","Brand_37",False,"Supplier_3","Mexico",True,3,"0.01"
"PO-002374","ITM-00013","SPL-0035",872,"166.17","149.28","USD","Cancelled",4,True,"Net 45","2022-08-07",153,77,10,"Item_13","Electronics","Brand_19",True,"Supplier_35","Mexico",True,4,"1.00"
"PO-003815","ITM-00013","SPL-0100",835,"119.87","111.68","INR","Partially Delivered",5,True,"Net 45","2024-03-04",153,77,10,"Item_13","Electronics","Brand_19",True,"Supplier_100","Canada",False,2,"0.01"
"PO-003544","ITM-00013","SPL-0081",881,"338.00","329.88","USD","Cancelled",4,True,"Net 30","2023-11-14",153,77,10,"Item_13","Electronics","Brand_19",True,"Supplier_81","India",False,5,"1.00"
"PO-000285","ITM-00013","SPL-0048",177,"126.07","109.86","INR","Partially Delivered",1,True,"Net 45","2020-04-27",153,77,10,"Item_13","Electronics","Brand_19",True,"Supplier_48","China",True,1,"0.01"
"PO-002627","ITM-00013","SPL-0065",315,"329.32","301.15","MXN","Cancelled",4,True,"Net 30","2022-11-13",153,77,10,"Item_13","Electronics","Brand_19",True,"Supplier_65","Mexico",True,3,"0.05"
"PO-004633","ITM-00013","SPL-0024",27,"466.07","375.83","INR","Delivered",9,True,"Net 45","2025-01-19",153,77,10,"Item_13","Electronics","Brand_19",True,"Supplier_24","Germany",True,3,"0.01"
"PO-002654","ITM-00014","SPL-0084",768,"442.13","425.12","INR","Partially Delivered",6,True,"Net 45","2022-11-23",12,84,29,"Item_14","MRO","Brand_33",False,"Supplier_84","China",False,3,"0.01"
"PO-003860","ITM-00014","SPL-0064",709,"362.61","320.82","INR","Pending",9,True,"Net 60","2024-03-23",12,84,29,"Item_14","MRO","Brand_33",False,"Supplier_64","Mexico",False,2,"0.01"
"PO-002768","ITM-00014","SPL-0051",612,"112.16","91.57","MXN","Cancelled",0,True,"Net 30","2023-01-09",12,84,29,"Item_14","MRO","Brand_33",False,"Supplier_51","Mexico",False,1,"0.05"
"PO-002742","ITM-00014","SPL-0025",842,"476.06","459.09","USD","Pending",7,True,"Net 45","2022-12-29",12,84,29,"Item_14","MRO","Brand_33",False,"Supplier_25","Canada",False,1,"1.00"
"PO-004563","ITM-00015","SPL-0021",533,"355.78","315.66","INR","Pending",8,False,"Net 45","2024-12-22",88,142,18,"Item_15","Furniture","Brand_42",False,"Supplier_21","Germany",False,1,"0.01"
"PO-002402","ITM-00015","SPL-0079",802,"364.77","312.58","INR","Pending",2,True,"Net 30","2022-08-17",88,142,18,"Item_15","Furniture","Brand_42",False,"Supplier_79","Germany",True,3,"0.01"
"PO-004292","ITM-00016","SPL-0050",416,"387.29","341.27","INR","Cancelled",5,True,"Net 45","2024-09-10",0,149,11,"Item_16","MRO","Brand_7",False,"Supplier_50","India",True,4,"0.01"
"PO-000841","ITM-00017","SPL-0085",623,"262.11","214.31","INR","Delivered",5,True,"Net 30","2020-12-08",97,72,11,"Item_17","Furniture","Brand_2",False,"Supplier_85","India",True,2,"0.01"
"PO-001761","ITM-00017","SPL-0018",929,"369.82","307.65","MXN","Delivered",9,True,"Net 45","2021-12-10",97,72,11,"Item_17","Furniture","Brand_2",False,"Supplier_18","Canada",False,1,"0.05"
"PO-002459","ITM-00017","SPL-0010",625,"173.08","139.75","INR","Partially Delivered",8,False,"Net 30","2022-09-08",97,72,11,"Item_17","Furniture","Brand_2",False,"Supplier_10","China",True,3,"0.01"
"PO-002055","ITM-00017","SPL-0078",51,"358.89","305.24","MXN","Delivered",8,True,"Net 60","2022-04-01",97,72,11,"Item_17","Furniture","Brand_2",False,"Supplier_78","China",False,1,"0.05"
"PO-004999","ITM-00017","SPL-0018",578,"90.26","74.46","INR","Partially Delivered",5,True,"Net 60","2025-06-18",97,72,11,"Item_17","Furniture","Brand_2",False,"Supplier_18","Canada",False,1,"0.01"
"PO-002939","ITM-00017","SPL-0020",76,"58.58","52.04","INR","Partially Delivered",6,True,"Net 60","2023-03-19",97,72,11,"Item_17","Furniture","Brand_2",False,"Supplier_20","Germany",True,5,"0.01"
"PO-000315","ITM-00017","SPL-0020",443,"179.30","149.45","MXN","Pending",7,True,"Net 60","2020-05-09",97,72,11,"Item_17","Furniture","Brand_2",False,"Supplier_20","Germany",True,5,"0.05"
"PO-001230","ITM-00017","SPL-0022",453,"403.88","327.84","USD","Cancelled",9,True,"Net 45","2021-05-12",97,72,11,"Item_17","Furniture","Brand_2",False,"Supplier_22","China",True,1,"1.00"
"PO-001277","ITM-00018","SPL-0052",843,"395.13","362.21","CNY","Delivered",8,True,"Net 30","2021-05-31",34,124,10,"Item_18","Electronics","Brand_32",False,"Supplier_52","USA",True,3,"0.13"
"PO-002126","ITM-00018","SPL-0097",860,"83.19","73.64","CNY","Partially Delivered",0,True,"Net 45","2022-04-30",34,124,10,"Item_18","Electronics","Brand_32",False,"Supplier_97","Germany",True,2,"0.13"
"PO-002230","ITM-00018","SPL-0060",548,"82.90","81.53","MXN","Delivered",8,True,"Net 30","2022-06-11",34,124,10,"Item_18","Electronics","Brand_32",False,"Supplier_60","USA",False,2,"0.05"
"PO-001142","ITM-00018","SPL-0024",787,"72.05","59.22","CNY","Partially Delivered",4,True,"Net 45","2021-04-07",34,124,10,"Item_18","Electronics","Brand_32",False,"Supplier_24","Germany",True,3,"0.13"
"PO-002205","ITM-00018","SPL-0080",633,"412.79","353.69","EUR","Cancelled",3,True,"Net 60","2022-05-31",34,124,10,"Item_18","Electronics","Brand_32",False,"Supplier_80","Mexico",False,4,"1.14"
"PO-004711","ITM-00018","SPL-0057",922,"346.17","289.53","CNY","Delivered",1,True,"Net 60","2025-02-20",34,124,10,"Item_18","Electronics","Brand_32",False,"Supplier_57","India",True,3,"0.13"
"PO-004492","ITM-00018","SPL-0089",461,"160.15","143.61","MXN","Cancelled",9,False,"Net 45","2024-11-25",34,124,10,"Item_18","Electronics","Brand_32",False,"Supplier_89","China",True,1,"0.05"
"PO-003713","ITM-00018","SPL-0081",442,"436.17","419.51","INR","Partially Delivered",2,True,"Net 60","2024-01-24",34,124,10,"Item_18","Electronics","Brand_32",False,"Supplier_81","India",False,5,"0.01"
"PO-001240","ITM-00018","SPL-0018",281,"82.87","77.43","USD","Delivered",0,True,"Net 45","2021-05-16",34,124,10,"Item_18","Electronics","Brand_32",False,"Supplier_18","Canada",False,1,"1.00"
"PO-004978","ITM-00018","SPL-0034",899,"274.41","244.34","EUR","Cancelled",0,False,"Net 60","2025-06-10",34,124,10,"Item_18","Electronics","Brand_32",False,"Supplier_34","USA",False,1,"1.14"
"PO-001051","ITM-00019","SPL-0084",90,"87.96","83.58","EUR","Cancelled",2,True,"Net 60","2021-03-01",0,140,25,"Item_19","Packaging","Brand_18",True,"Supplier_84","China",False,3,"1.14"
"PO-004219","ITM-00019","SPL-0028",29,"152.32","129.44","INR","Pending",3,True,"Net 60","2024-08-12",0,140,25,"Item_19","Packaging","Brand_18",True,"Supplier_28","USA",False,4,"0.01"
"PO-003994","ITM-00019","SPL-0038",343,"269.85","248.35","INR","Delivered",7,True,"Net 60","2024-05-16",0,140,25,"Item_19","Packaging","Brand_18",True,"Supplier_38","India",False,4,"0.01"
"PO-001300","ITM-00019","SPL-0037",287,"157.85","152.33","EUR","Cancelled",7,True,"Net 60","2021-06-09",0,140,25,"Item_19","Packaging","Brand_18",True,"Supplier_37","India",True,1,"1.14"
"PO-004694","ITM-00020","SPL-0033",171,"249.42","229.17","MXN","Cancelled",3,True,"Net 30","2025-02-14",659,188,29,"Item_20","Office Supplies","Brand_38",False,"Supplier_33","Mexico",False,2,"0.05"
"PO-003000","ITM-00020","SPL-0057",881,"435.37","414.85","EUR","Partially Delivered",2,True,"Net 30","2023-04-11",659,188,29,"Item_20","Office Supplies","Brand_38",False,"Supplier_57","India",True,3,"1.14"
"PO-004424","ITM-00020","SPL-0071",568,"135.41","119.42","EUR","Partially Delivered",5,True,"Net 45","2024-10-29",659,188,29,"Item_20","Office Supplies","Brand_38",False,"Supplier_71","Germany",True,5,"1.14"
"PO-004162","ITM-00020","SPL-0042",304,"484.54","406.17","EUR","Partially Delivered",4,False,"Net 60","2024-07-20",659,188,29,"Item_20","Office Supplies","Brand_38",False,"Supplier_42","Canada",True,3,"1.14"
"PO-000766","ITM-00020","SPL-0013",757,"187.26","158.09","EUR","Cancelled",9,True,"Net 30","2020-11-08",659,188,29,"Item_20","Office Supplies","Brand_38",False,"Supplier_13","China",False,1,"1.14"
"PO-004634","ITM-00020","SPL-0002",264,"86.88","80.88","USD","Pending",4,True,"Net 30","2025-01-19",659,188,29,"Item_20","Office Supplies","Brand_38",False,"Supplier_2","China",True,5,"1.00"
"PO-003852","ITM-00021","SPL-0078",398,"242.95","235.17","CNY","Cancelled",8,True,"Net 30","2024-03-19",117,158,21,"Item_21","Office Supplies","Brand_47",False,"Supplier_78","China",False,1,"0.13"
"PO-003789","ITM-00021","SPL-0031",385,"184.99","184.27","EUR","Cancelled",1,True,"Net 45","2024-02-22",117,158,21,"Item_21","Office Supplies","Brand_47",False,"Supplier_31","Germany",True,1,"1.14"
"PO-000962","ITM-00021","SPL-0068",343,"291.07","264.50","EUR","Pending",0,True,"Net 45","2021-01-24",117,158,21,"Item_21","Office Supplies","Brand_47",False,"Supplier_68","Germany",True,4,"1.14"
"PO-002983","ITM-00021","SPL-0066",499,"149.64","120.55","MXN","Pending",8,True,"Net 30","2023-04-05",117,158,21,"Item_21","Office Supplies","Brand_47",False,"Supplier_66","Canada",True,2,"0.05"
"PO-001924","ITM-00021","SPL-0009",934,"329.22","292.63","CNY","Delivered",4,True,"Net 60","2022-02-09",117,158,21,"Item_21","Office Supplies","Brand_47",False,"Supplier_9","Germany",True,4,"0.13"
"PO-002333","ITM-00021","SPL-0060",498,"391.57","332.69","INR","Cancelled",1,True,"Net 45","2022-07-22",117,158,21,"Item_21","Office Supplies","Brand_47",False,"Supplier_60","USA",False,2,"0.01"
"PO-001665","ITM-00021","SPL-0027",375,"117.07","113.53","USD","Partially Delivered",9,True,"Net 60","2021-11-03",117,158,21,"Item_21","Office Supplies","Brand_47",False,"Supplier_27","USA",False,5,"1.00"
"PO-002867","ITM-00022","SPL-0022",352,"499.60","449.48","EUR","Partially Delivered",0,True,"Net 30","2023-02-18",117,72,21,"Item_22","Furniture","Brand_21",False,"Supplier_22","China",True,1,"1.14"
"PO-003764","ITM-00022","SPL-0013",709,"27.58","23.87","EUR","Partially Delivered",3,True,"Net 30","2024-02-13",117,72,21,"Item_22","Furniture","Brand_21",False,"Supplier_13","China",False,1,"1.14"
"PO-003187","ITM-00022","SPL-0005",114,"438.27","367.40","INR","Pending",8,True,"Net 30","2023-06-26",117,72,21,"Item_22","Furniture","Brand_21",False,"Supplier_5","India",False,4,"0.01"
"PO-004450","ITM-00023","SPL-0009",240,"221.35","212.15","EUR","Partially Delivered",2,True,"Net 45","2024-11-08",991,163,16,"Item_23","MRO","Brand_21",False,"Supplier_9","Germany",True,4,"1.14"
"PO-002620","ITM-00023","SPL-0100",792,"81.73","77.44","EUR","Cancelled",4,True,"Net 60","2022-11-10",991,163,16,"Item_23","MRO","Brand_21",False,"Supplier_100","Canada",False,2,"1.14"
"PO-004683","ITM-00023","SPL-0019",296,"297.78","245.93","INR","Partially Delivered",4,True,"Net 60","2025-02-09",991,163,16,"Item_23","MRO","Brand_21",False,"Supplier_19","China",True,2,"0.01"
"PO-001149","ITM-00023","SPL-0034",303,"192.04","160.26","INR","Cancelled",7,True,"Net 45","2021-04-10",991,163,16,"Item_23","MRO","Brand_21",False,"Supplier_34","USA",False,1,"0.01"
"PO-003061","ITM-00023","SPL-0055",438,"442.47","372.32","EUR","Delivered",5,True,"Net 30","2023-05-07",991,163,16,"Item_23","MRO","Brand_21",False,"Supplier_55","India",False,3,"1.14"
"PO-002828","ITM-00023","SPL-0046",42,"178.78","157.71","EUR","Delivered",1,True,"Net 60","2023-02-03",991,163,16,"Item_23","MRO","Brand_21",False,"Supplier_46","USA",False,1,"1.14"
"PO-002895","ITM-00023","SPL-0003",307,"54.19","53.38","INR","Cancelled",7,True,"Net 60","2023-03-01",991,163,16,"Item_23","MRO","Brand_21",False,"Supplier_3","Mexico",True,3,"0.01"
"PO-000025","ITM-00024","SPL-0099",466,"173.32","158.06","USD","Cancelled",0,True,"Net 60","2020-01-10",862,152,27,"Item_24","MRO","Brand_8",False,"Supplier_99","India",True,2,"1.00"
"PO-001900","ITM-00024","SPL-0069",230,"41.93","39.42","EUR","Delivered",9,True,"Net 45","2022-01-31",862,152,27,"Item_24","MRO","Brand_8",False,"Supplier_69","Mexico",False,3,"1.14"
"PO-001179","ITM-00024","SPL-0016",341,"302.54","276.50","MXN","Delivered",9,True,"Net 60","2021-04-22",862,152,27,"Item_24","MRO","Brand_8",False,"Supplier_16","Canada",True,4,"0.05"
"PO-003250","ITM-00025","SPL-0021",343,"355.94","300.57","CNY","Cancelled",1,True,"Net 45","2023-07-21",0,79,19,"Item_25","Electronics","Brand_13",False,"Supplier_21","Germany",False,1,"0.13"
"PO-000803","ITM-00025","SPL-0075",983,"97.18","82.36","INR","Delivered",0,True,"Net 30","2020-11-22",0,79,19,"Item_25","Electronics","Brand_13",False,"Supplier_75","Canada",True,3,"0.01"
"PO-002199","ITM-00025","SPL-0079",744,"462.24","372.89","CNY","Cancelled",3,False,"Net 60","2022-05-29",0,79,19,"Item_25","Electronics","Brand_13",False,"Supplier_79","Germany",True,3,"0.13"
"PO-000827","ITM-00025","SPL-0005",256,"148.41","135.30","USD","Partially Delivered",7,True,"Net 60","2020-12-02",0,79,19,"Item_25","Electronics","Brand_13",False,"Supplier_5","India",False,4,"1.00"
"PO-003963","ITM-00025","SPL-0079",821,"372.33","366.50","MXN","Delivered",4,True,"Net 45","2024-05-04",0,79,19,"Item_25","Electronics","Brand_13",False,"Supplier_79","Germany",True,3,"0.05"
"PO-004070","ITM-00026","SPL-0041",779,"36.00","29.06","MXN","Pending",4,False,"Net 60","2024-06-15",0,160,20,"Item_26","MRO","Brand_47",False,"Supplier_41","Germany",True,2,"0.05"
"PO-003422","ITM-00026","SPL-0086",214,"167.99","141.14","INR","Pending",8,True,"Net 30","2023-09-28",0,160,20,"Item_26","MRO","Brand_47",False,"Supplier_86","Canada",True,4,"0.01"
"PO-000811","ITM-00026","SPL-0034",531,"69.78","60.23","EUR","Cancelled",9,True,"Net 60","2020-11-26",0,160,20,"Item_26","MRO","Brand_47",False,"Supplier_34","USA",False,1,"1.14"
"PO-003342","ITM-00026","SPL-0003",374,"131.07","109.07","CNY","Delivered",0,True,"Net 60","2023-08-28",0,160,20,"Item_26","MRO","Brand_47",False,"Supplier_3","Mexico",True,3,"0.13"
"PO-003976","ITM-00026","SPL-0093",515,"224.58","219.70","USD","Delivered",0,True,"Net 30","2024-05-09",0,160,20,"Item_26","MRO","Brand_47",False,"Supplier_93","India",False,2,"1.00"
