PO_ID,Item_ID,Supplier_ID,Quantity_Ordered,Unit_Price,Negotiated_Price,Currency,Order_Status,Defective_Units,Compliance,Payment_Terms,Order_Date
PO-000025,ITM-00024,SPL-0099,466,173.32,158.06,USD,Cancelled,0,Yes,Net 60,1/10/2020
PO-000026,ITM-00121,SPL-0008,75,203.9,182.52,USD,Cancelled,4,Yes,Net 60,1/10/2020
PO-000027,ITM-00292,SPL-0085,605,455.35,372.27,EUR,Delivered,9,No,Net 60,1/11/2020
PO-000027,ITM-00292,SPL-0085,605,455.35,372.27,EUR,Delivered,9,No,Net 60,1/11/2020
PO-000028,ITM-00970,SPL-0008,481,263.93,259.44,USD,Pending,5,Yes,Net 45,1/11/2020
PO-000029,ITM-00342,SPL-0033,792,301.18,275.8,USD,Delivered,4,Yes,Net 45,1/12/2020
PO-000030,ITM-00613,SPL-0060,442,473.77,455.26,CNY,Cancelled,4,Yes,Net 60,1/12/2020
PO-000030,ITM-00613,SPL-0060,442,473.77,455.26,CNY,Cancelled,4,Yes,Net 60,1/12/2020
PO-000031,ITM-00854,SPL-0032,513,201.01,162.36,USD,Cancelled,6,Yes,Net 60,1/13/2020
PO-000032,ITM-00436,SPL-0082,447,447.34,429.49,CNY,Partially Delivered,1,Yes,Net 60,1/13/2020
PO-000033,ITM-00113,SPL-0075,513,476.44,409.83,INR,Partially Delivered,7,Yes,Net 30,1/13/2020
PO-000034,ITM-00730,SPL-0013,584,305.71,267.62,USD,Delivered,1,Yes,Net 30,1/14/2020
PO-000034,ITM-00730,SPL-0013,584,305.71,267.62,USD,Delivered,1,Yes,Net 30,1/14/2020
PO-000035,ITM-00616,SPL-0005,644,474.49,444.79,MXN,Delivered,1,Yes,Net 45,1/14/2020
PO-000036,ITM-00860,SPL-0017,698,39.66,34.13,EUR,Cancelled,2,Yes,Net 30,1/15/2020
PO-000037,ITM-00799,SPL-0055,591,341.71,327.39,MXN,Pending,7,Yes,Net 60,1/15/2020
PO-000038,ITM-00124,SPL-0055,755,332.69,322.87,EUR,Partially Delivered,3,Yes,Net 30,1/15/2020
PO-000039,ITM-00196,SPL-0029,378,252.39,215.94,EUR,Partially Delivered,7,Yes,Net 60,1/16/2020
PO-000040,ITM-00914,SPL-0019,744,33.52,28.14,CNY,Partially Delivered,4,Yes,Net 45,1/16/2020
PO-000041,ITM-00823,SPL-0059,874,125.07,104,USD,Partially Delivered,0,Yes,Net 45,1/16/2020
PO-000042,ITM-00408,SPL-0059,221,228.34,205.56,USD,Delivered,5,No,Net 45,1/17/2020
PO-000043,ITM-00604,SPL-0004,886,383.94,371.18,USD,Pending,3,Yes,Net 45,1/17/2020
PO-000044,ITM-00037,SPL-0088,756,141.78,123.76,EUR,Pending,9,Yes,Net 45,1/17/2020
PO-000044,ITM-00037,SPL-0088,756,141.78,123.76,EUR,Pending,9,Yes,Net 45,1/18/2020
PO-000045,ITM-00924,SPL-0072,318,467.05,450.22,EUR,Pending,1,No,Net 60,1/18/2020
PO-000046,ITM-00281,SPL-0041,249,475.41,429.47,EUR,Cancelled,5,Yes,Net 45,1/18/2020
PO-000046,ITM-00281,SPL-0041,249,475.41,429.47,EUR,Cancelled,5,Yes,Net 45,1/19/2020
PO-000047,ITM-00082,SPL-0053,691,478.92,383.57,MXN,Partially Delivered,6,No,Net 45,1/19/2020
PO-000048,ITM-00005,SPL-0017,570,468.35,467.73,CNY,Cancelled,2,Yes,Net 60,1/19/2020
PO-000048,ITM-00005,SPL-0017,570,468.35,467.73,CNY,Cancelled,2,Yes,Net 60,1/20/2020
PO-000049,ITM-00737,SPL-0037,390,108.53,93.52,EUR,Partially Delivered,1,Yes,Net 45,1/20/2020
PO-000050,ITM-00165,SPL-0002,984,28.69,24.86,CNY,Delivered,6,Yes,Net 45,1/20/2020
PO-000051,ITM-00984,SPL-0028,747,438.86,437.94,CNY,Delivered,3,Yes,Net 45,1/21/2020
PO-000052,ITM-00832,SPL-0013,934,148.27,134.12,EUR,Cancelled,1,Yes,Net 45,1/21/2020
PO-000052,ITM-00832,SPL-0013,934,148.27,134.12,EUR,Cancelled,1,Yes,Net 45,1/21/2020
PO-000053,ITM-00879,SPL-0093,989,375.43,323.49,EUR,Cancelled,2,Yes,Net 30,1/22/2020
PO-000054,ITM-00578,SPL-0091,204,261.21,212.29,CNY,Partially Delivered,2,Yes,Net 45,1/22/2020
PO-000055,ITM-00008,SPL-0056,899,314.13,286.23,EUR,Cancelled,6,No,Net 30,1/22/2020
PO-000056,ITM-00453,SPL-0076,784,360.84,348.34,USD,Pending,5,Yes,Net 30,1/23/2020
PO-000057,ITM-00863,SPL-0038,751,198.79,179.65,INR,Delivered,1,Yes,Net 45,1/23/2020
PO-000058,ITM-00318,SPL-0057,161,321.96,298.22,MXN,Delivered,7,Yes,Net 30,1/23/2020
PO-000059,ITM-00942,SPL-0034,811,139.37,122.28,MXN,Delivered,8,Yes,Net 45,1/24/2020
PO-000060,ITM-00349,SPL-0022,372,402.78,356.02,USD,Partially Delivered,6,No,Net 60,1/24/2020
PO-000061,ITM-00852,SPL-0088,324,181.48,146.97,USD,Pending,1,Yes,Net 45,1/24/2020
PO-000062,ITM-00403,SPL-0063,628,488.53,473.21,USD,Delivered,5,Yes,Net 45,1/25/2020
PO-000062,ITM-00403,SPL-0063,628,488.53,473.21,USD,Delivered,5,Yes,Net 45,1/25/2020
PO-000063,ITM-00649,SPL-0051,785,426.82,344.29,EUR,Cancelled,4,Yes,Net 45,1/25/2020
PO-000064,ITM-00597,SPL-0098,272,404.59,331.88,CNY,Cancelled,8,Yes,Net 30,1/26/2020
PO-000065,ITM-00570,SPL-0064,71,155.05,135.81,MXN,Cancelled,2,Yes,Net 45,1/26/2020
PO-000066,ITM-00269,SPL-0024,204,264.24,241.25,INR,Partially Delivered,2,Yes,Net 60,1/26/2020
PO-000066,ITM-00269,SPL-0024,204,264.24,241.25,INR,Partially Delivered,2,Yes,Net 60,1/27/2020
PO-000067,ITM-00153,SPL-0078,103,494.01,414.17,CNY,Cancelled,1,Yes,Net 60,1/27/2020
PO-000068,ITM-00330,SPL-0049,745,368.15,354.12,EUR,Partially Delivered,4,Yes,Net 45,1/27/2020
PO-000069,ITM-00983,SPL-0091,424,145.33,141.49,CNY,Delivered,9,Yes,Net 60,1/28/2020
PO-000069,ITM-00983,SPL-0091,424,145.33,141.49,CNY,Delivered,9,Yes,Net 60,1/28/2020
PO-000070,ITM-00083,SPL-0057,795,66.56,55.59,MXN,Pending,2,Yes,Net 60,1/28/2020
PO-000070,ITM-00083,SPL-0057,795,66.56,55.59,MXN,Pending,2,Yes,Net 60,1/29/2020
PO-000071,ITM-00434,SPL-0049,463,132.06,112.86,EUR,Delivered,0,Yes,Net 60,1/29/2020
PO-000071,ITM-00434,SPL-0049,463,132.06,112.86,EUR,Delivered,0,Yes,Net 60,1/29/2020
PO-000072,ITM-00660,SPL-0053,801,451.59,379.94,CNY,Partially Delivered,6,Yes,Net 45,1/30/2020
PO-000073,ITM-00553,SPL-0055,414,310.02,305.2,CNY,Partially Delivered,6,Yes,Net 45,1/30/2020
PO-000074,ITM-00116,SPL-0071,236,211.53,199.81,MXN,Cancelled,8,Yes,Net 45,1/30/2020
PO-000075,ITM-00286,SPL-0054,894,321.19,309.94,INR,Cancelled,6,Yes,Net 60,1/31/2020
PO-000076,ITM-00705,SPL-0007,396,272.74,236.66,MXN,Partially Delivered,6,Yes,Net 45,1/31/2020
PO-000077,ITM-00588,SPL-0052,129,311.62,249.43,INR,Delivered,8,Yes,Net 60,1/31/2020
PO-000078,ITM-00354,SPL-0080,981,467.61,448.64,EUR,Cancelled,5,Yes,Net 30,2/1/2020
PO-000079,ITM-00621,SPL-0022,388,332.99,299.24,USD,Pending,5,Yes,Net 60,2/1/2020
PO-000080,ITM-00640,SPL-0099,610,96.69,78.75,INR,Pending,4,Yes,Net 45,2/1/2020
PO-000080,ITM-00640,SPL-0099,610,96.69,78.75,INR,Pending,4,Yes,Net 45,2/2/2020
PO-000081,ITM-00355,SPL-0051,11,215.75,207.91,MXN,Partially Delivered,2,Yes,Net 60,2/2/2020
PO-000081,ITM-00355,SPL-0051,11,215.75,207.91,MXN,Partially Delivered,2,Yes,Net 60,2/2/2020
PO-000082,ITM-00075,SPL-0082,312,164.32,139.19,MXN,Delivered,9,Yes,Net 30,2/3/2020
PO-000083,ITM-00755,SPL-0005,923,400.24,394.9,MXN,Delivered,8,Yes,Net 30,2/3/2020
PO-000084,ITM-00387,SPL-0004,521,130.91,105.79,CNY,Pending,1,Yes,Net 30,2/3/2020
PO-000085,ITM-00884,SPL-0087,910,226.01,215.65,EUR,Partially Delivered,1,Yes,Net 30,2/4/2020
PO-000085,ITM-00884,SPL-0087,910,226.01,215.65,EUR,Partially Delivered,1,Yes,Net 30,2/4/2020
PO-000086,ITM-00645,SPL-0098,51,378.13,340.99,MXN,Partially Delivered,4,Yes,Net 45,2/4/2020
PO-000087,ITM-00743,SPL-0048,461,238.4,219.7,USD,Delivered,0,Yes,Net 30,2/5/2020
PO-000088,ITM-00110,SPL-0054,849,364.88,343.15,MXN,Delivered,2,Yes,Net 30,2/5/2020
PO-000089,ITM-00099,SPL-0075,976,90.6,77.01,USD,Partially Delivered,9,Yes,Net 60,2/5/2020
PO-000089,ITM-00099,SPL-0075,976,90.6,77.01,USD,Partially Delivered,9,Yes,Net 60,2/6/2020
PO-000090,ITM-00181,SPL-0070,749,69.08,57.93,CNY,Partially Delivered,8,Yes,Net 60,2/6/2020
PO-000091,ITM-00745,SPL-0029,75,415.8,348.22,MXN,Cancelled,4,Yes,Net 45,2/6/2020
PO-000091,ITM-00745,SPL-0029,75,415.8,348.22,MXN,Cancelled,4,Yes,Net 45,2/7/2020
PO-000092,ITM-00102,SPL-0017,737,302.23,301.87,INR,Delivered,1,Yes,Net 45,2/7/2020
PO-000093,ITM-00777,SPL-0057,362,463.36,413.29,INR,Pending,7,Yes,Net 60,2/7/2020
PO-000094,ITM-00478,SPL-0016,590,95.82,95.28,INR,Cancelled,8,No,Net 30,2/8/2020
PO-000094,ITM-00478,SPL-0016,590,95.82,95.28,INR,Cancelled,8,No,Net 30,2/8/2020
PO-000095,ITM-00598,SPL-0023,462,437.33,426.28,EUR,Partially Delivered,0,Yes,Net 45,2/8/2020
PO-000096,ITM-00031,SPL-0066,443,143.07,124.32,USD,Partially Delivered,3,Yes,Net 45,2/9/2020
PO-000096,ITM-00031,SPL-0066,443,143.07,124.32,USD,Partially Delivered,3,Yes,Net 45,2/9/2020
PO-000097,ITM-00011,SPL-0045,452,83.78,75.64,USD,Partially Delivered,7,Yes,Net 30,2/9/2020
PO-000097,ITM-00011,SPL-0045,452,83.78,75.64,USD,Partially Delivered,7,Yes,Net 30,2/10/2020
PO-000098,ITM-00789,SPL-0076,292,40.51,37.98,USD,Cancelled,5,Yes,Net 60,2/10/2020
PO-000099,ITM-00521,SPL-0047,829,22.97,22.5,MXN,Cancelled,5,Yes,Net 60,2/10/2020
PO-000100,ITM-00772,SPL-0032,100,218.37,187.23,MXN,Cancelled,8,Yes,Net 60,2/11/2020
PO-000101,ITM-00212,SPL-0048,211,421.53,377.33,MXN,Partially Delivered,7,Yes,Net 60,2/11/2020
PO-000101,ITM-00212,SPL-0048,211,421.53,377.33,MXN,Partially Delivered,7,Yes,Net 60,2/11/2020
PO-000102,ITM-00486,SPL-0069,163,41.92,34.93,MXN,Partially Delivered,0,Yes,Net 45,2/12/2020
PO-000103,ITM-00841,SPL-0072,681,311.64,256.94,USD,Delivered,2,Yes,Net 30,2/12/2020
PO-000104,ITM-00967,SPL-0008,606,36.92,30.5,INR,Delivered,6,Yes,Net 45,2/12/2020
PO-000105,ITM-00251,SPL-0013,940,156.15,138.95,EUR,Delivered,2,Yes,Net 30,2/13/2020
PO-000106,ITM-00953,SPL-0072,692,418.98,410.24,INR,Pending,4,Yes,Net 45,2/13/2020
PO-000107,ITM-00007,SPL-0018,435,452.66,431,USD,Partially Delivered,2,Yes,Net 45,2/13/2020
PO-000107,ITM-00007,SPL-0018,435,452.66,431,USD,Partially Delivered,2,Yes,Net 45,2/14/2020
PO-000108,ITM-00143,SPL-0071,863,60.63,48.84,CNY,Cancelled,2,Yes,Net 30,2/14/2020
PO-000109,ITM-00055,SPL-0086,474,485.86,484.88,INR,Partially Delivered,5,No,Net 60,2/14/2020
PO-000110,ITM-00963,SPL-0057,68,132.08,106.46,USD,Partially Delivered,4,Yes,Net 30,2/15/2020
PO-000110,ITM-00963,SPL-0057,68,132.08,106.46,USD,Partially Delivered,4,Yes,Net 30,2/15/2020
PO-000111,ITM-00133,SPL-0008,68,212.59,210.69,CNY,Pending,0,Yes,Net 45,2/15/2020
PO-000112,ITM-00507,SPL-0036,355,413.01,380.05,USD,Pending,4,Yes,Net 30,2/16/2020
PO-000113,ITM-00349,SPL-0050,53,25.65,25.33,INR,Pending,0,No,Net 60,2/16/2020
PO-000114,ITM-00972,SPL-0055,301,290.9,284.06,MXN,Partially Delivered,1,Yes,Net 30,2/16/2020
PO-000115,ITM-00620,SPL-0055,836,113.69,110.44,MXN,Pending,0,Yes,Net 45,2/17/2020
PO-000116,ITM-00794,SPL-0023,20,450.13,394.08,EUR,Partially Delivered,5,Yes,Net 45,2/17/2020
PO-000117,ITM-00795,SPL-0099,747,219.88,185.33,INR,Cancelled,2,Yes,Net 30,2/17/2020
PO-000118,ITM-00747,SPL-0045,714,96.48,84.63,INR,Pending,8,Yes,Net 30,2/18/2020
PO-000119,ITM-00093,SPL-0030,65,145.32,128.08,USD,Pending,6,Yes,Net 60,2/18/2020
PO-000120,ITM-00058,SPL-0044,527,159.5,136.48,INR,Cancelled,4,Yes,Net 30,2/18/2020
PO-000121,ITM-00598,SPL-0077,904,334.89,328.27,EUR,Cancelled,8,Yes,Net 30,2/19/2020
PO-000121,ITM-00598,SPL-0077,904,334.89,328.27,EUR,Cancelled,8,Yes,Net 30,2/19/2020
PO-000122,ITM-00110,SPL-0005,400,409.68,402.33,EUR,Cancelled,7,Yes,Net 45,2/19/2020
PO-000123,ITM-00735,SPL-0045,775,319.07,272.27,INR,Delivered,5,Yes,Net 60,2/20/2020
PO-000123,ITM-00735,SPL-0045,775,319.07,272.27,INR,Delivered,5,Yes,Net 60,2/20/2020
PO-000124,ITM-00010,SPL-0087,601,404.86,373.46,CNY,Partially Delivered,5,Yes,Net 30,2/20/2020
PO-000125,ITM-00695,SPL-0053,586,250.39,213.65,CNY,Delivered,7,Yes,Net 30,2/21/2020
PO-000126,ITM-00712,SPL-0010,875,297.67,272.97,MXN,Delivered,3,Yes,Net 45,2/21/2020
PO-000127,ITM-00338,SPL-0083,313,231.88,209.61,USD,Pending,2,Yes,Net 30,2/21/2020
PO-000128,ITM-00207,SPL-0017,908,13.84,12.24,INR,Partially Delivered,1,Yes,Net 60,2/22/2020
PO-000129,ITM-00173,SPL-0097,636,68.44,62.08,USD,Partially Delivered,2,Yes,Net 30,2/22/2020
PO-000130,ITM-00337,SPL-0074,962,206.86,185.24,EUR,Pending,2,Yes,Net 60,2/22/2020
PO-000131,ITM-00714,SPL-0033,516,181.4,178.68,CNY,Cancelled,4,No,Net 45,2/23/2020
PO-000132,ITM-00228,SPL-0008,923,136.13,112.17,CNY,Partially Delivered,2,Yes,Net 60,2/23/2020
PO-000133,ITM-00793,SPL-0071,14,128.93,116.43,MXN,Cancelled,5,No,Net 30,2/23/2020
PO-000133,ITM-00793,SPL-0071,14,128.93,116.43,MXN,Cancelled,5,No,Net 30,2/24/2020
PO-000134,ITM-00817,SPL-0001,146,407.6,407.29,EUR,Cancelled,2,Yes,Net 30,2/24/2020
PO-000135,ITM-00392,SPL-0055,648,285.79,235.81,MXN,Pending,4,Yes,Net 60,2/24/2020
PO-000135,ITM-00392,SPL-0055,648,285.79,235.81,MXN,Pending,4,Yes,Net 60,2/25/2020
PO-000136,ITM-00219,SPL-0026,212,410.41,336.55,MXN,Cancelled,1,Yes,Net 45,2/25/2020
PO-000136,ITM-00219,SPL-0026,212,410.41,336.55,MXN,Cancelled,1,Yes,Net 45,2/25/2020
PO-000137,ITM-00766,SPL-0089,321,160.9,143.91,EUR,Partially Delivered,7,Yes,Net 60,2/26/2020
PO-000138,ITM-00767,SPL-0068,427,235.99,215.31,EUR,Delivered,5,Yes,Net 45,2/26/2020
PO-000139,ITM-00700,SPL-0071,450,72.38,59.83,CNY,Partially Delivered,3,Yes,Net 30,2/26/2020
PO-000140,ITM-00814,SPL-0081,636,429.86,368.64,CNY,Partially Delivered,4,Yes,Net 30,2/27/2020
PO-000140,ITM-00814,SPL-0081,636,429.86,368.64,CNY,Partially Delivered,4,Yes,Net 30,2/27/2020
PO-000141,ITM-00637,SPL-0084,229,23.26,23.1,INR,Partially Delivered,8,No,Net 30,2/27/2020
PO-000142,ITM-00661,SPL-0074,373,472.92,427.19,EUR,Cancelled,4,Yes,Net 60,2/28/2020
PO-000143,ITM-00225,SPL-0050,900,180.89,172.03,CNY,Partially Delivered,4,Yes,Net 60,2/28/2020
PO-000144,ITM-00391,SPL-0047,164,338.74,309.97,INR,Delivered,0,Yes,Net 60,2/28/2020
PO-000145,ITM-00606,SPL-0081,229,208.51,203.86,INR,Partially Delivered,4,No,Net 60,2/29/2020
PO-000145,ITM-00606,SPL-0081,229,208.51,203.86,INR,Partially Delivered,4,No,Net 60,2/29/2020
PO-000146,ITM-00140,SPL-0085,479,433.71,373.25,USD,Partially Delivered,4,Yes,Net 45,2/29/2020
PO-000147,ITM-00069,SPL-0031,580,91.77,75.94,CNY,Pending,8,Yes,Net 60,3/1/2020
PO-000148,ITM-00366,SPL-0044,995,291.58,263.65,MXN,Cancelled,1,Yes,Net 60,3/1/2020
PO-000149,ITM-00542,SPL-0092,377,84.6,79.3,USD,Partially Delivered,6,Yes,Net 30,3/1/2020
PO-000150,ITM-00853,SPL-0078,504,297.07,246.43,CNY,Cancelled,1,Yes,Net 45,3/2/2020
PO-000150,ITM-00853,SPL-0078,504,297.07,246.43,CNY,Cancelled,1,Yes,Net 45,3/2/2020
PO-000151,ITM-00458,SPL-0083,488,464.07,392.76,USD,Delivered,3,Yes,Net 45,3/2/2020
PO-000151,ITM-00458,SPL-0083,488,464.07,392.76,USD,Delivered,3,Yes,Net 45,3/3/2020
PO-000152,ITM-00037,SPL-0043,795,420.96,403,EUR,Cancelled,8,No,Net 45,3/3/2020
PO-000152,ITM-00037,SPL-0043,795,420.96,403,EUR,Cancelled,8,No,Net 45,3/3/2020
PO-000153,ITM-00266,SPL-0053,802,344.42,279.05,MXN,Cancelled,7,No,Net 60,3/4/2020
PO-000154,ITM-00031,SPL-0024,13,306.88,290.49,USD,Cancelled,7,Yes,Net 60,3/4/2020
PO-000155,ITM-00886,SPL-0095,212,70.5,64.41,USD,Delivered,7,Yes,Net 45,3/4/2020
PO-000156,ITM-00609,SPL-0094,886,142.97,126.67,EUR,Pending,1,Yes,Net 45,3/5/2020
PO-000157,ITM-00617,SPL-0030,293,145.56,144.19,USD,Delivered,8,Yes,Net 45,3/5/2020
PO-000158,ITM-00966,SPL-0038,75,467.62,411.6,CNY,Cancelled,7,Yes,Net 45,3/5/2020
PO-000158,ITM-00966,SPL-0038,75,467.62,411.6,CNY,Cancelled,7,Yes,Net 45,3/6/2020
PO-000159,ITM-00436,SPL-0050,187,381.03,340.27,USD,Cancelled,4,Yes,Net 30,3/6/2020
PO-000160,ITM-00326,SPL-0033,335,230.11,214.5,CNY,Partially Delivered,4,Yes,Net 30,3/6/2020
PO-000161,ITM-00055,SPL-0085,862,255.98,252.75,USD,Partially Delivered,1,Yes,Net 60,3/7/2020
PO-000162,ITM-00761,SPL-0008,683,469.81,383.03,USD,Delivered,5,Yes,Net 45,3/7/2020
PO-000163,ITM-00234,SPL-0042,996,291.82,277.59,EUR,Delivered,4,Yes,Net 30,3/7/2020
PO-000164,ITM-00053,SPL-0081,281,492.46,478.42,INR,Cancelled,4,Yes,Net 60,3/8/2020
PO-000165,ITM-00753,SPL-0079,416,439.68,429.28,INR,Partially Delivered,2,Yes,Net 60,3/8/2020
PO-000166,ITM-00489,SPL-0019,535,373.67,308.83,MXN,Pending,5,Yes,Net 60,3/8/2020
PO-000167,ITM-00531,SPL-0024,937,174.18,156.79,EUR,Delivered,5,Yes,Net 30,3/9/2020
PO-000168,ITM-00944,SPL-0011,656,381.03,373.52,CNY,Cancelled,8,Yes,Net 30,3/9/2020
PO-000169,ITM-00891,SPL-0074,498,419.22,374.67,MXN,Partially Delivered,9,No,Net 60,3/9/2020
PO-000169,ITM-00891,SPL-0074,498,419.22,374.67,MXN,Partially Delivered,9,No,Net 60,3/10/2020
PO-000170,ITM-00850,SPL-0046,195,325.82,317.03,MXN,Cancelled,3,Yes,Net 30,3/10/2020
PO-000171,ITM-00444,SPL-0039,170,36.56,33.78,EUR,Delivered,8,Yes,Net 45,3/10/2020
PO-000172,ITM-00387,SPL-0063,258,268.11,264.26,MXN,Cancelled,2,Yes,Net 60,3/11/2020
PO-000173,ITM-00046,SPL-0029,146,345.62,307.31,INR,Delivered,1,Yes,Net 30,3/11/2020
PO-000174,ITM-00631,SPL-0038,137,16.45,14.35,INR,Partially Delivered,4,Yes,Net 45,3/11/2020
PO-000175,ITM-00244,SPL-0023,527,423.51,416.56,EUR,Pending,2,Yes,Net 30,3/12/2020
PO-000176,ITM-00383,SPL-0013,210,308.43,304.83,USD,Delivered,0,Yes,Net 60,3/12/2020
PO-000176,ITM-00383,SPL-0013,210,308.43,304.83,USD,Delivered,0,Yes,Net 60,3/12/2020
PO-000177,ITM-00826,SPL-0019,259,192.88,159.88,EUR,Pending,3,Yes,Net 45,3/13/2020
PO-000178,ITM-00069,SPL-0062,687,438.94,361.26,USD,Delivered,4,Yes,Net 60,3/13/2020
PO-000178,ITM-00069,SPL-0062,687,438.94,361.26,USD,Delivered,4,Yes,Net 60,3/13/2020
PO-000179,ITM-00487,SPL-0095,724,52.44,48.41,CNY,Cancelled,9,Yes,Net 45,3/14/2020
PO-000180,ITM-00457,SPL-0087,320,350.6,335.17,INR,Partially Delivered,4,Yes,Net 60,3/14/2020
PO-000180,ITM-00457,SPL-0087,320,350.6,335.17,INR,Partially Delivered,4,Yes,Net 60,3/14/2020
PO-000181,ITM-00798,SPL-0013,290,8.35,7.28,MXN,Partially Delivered,5,Yes,Net 60,3/15/2020
PO-000182,ITM-00915,SPL-0019,743,362.88,326.85,INR,Partially Delivered,3,Yes,Net 30,3/15/2020
PO-000183,ITM-00156,SPL-0056,151,146.98,133.1,CNY,Delivered,9,Yes,Net 45,3/15/2020
PO-000184,ITM-00122,SPL-0027,784,84.75,83.63,INR,Cancelled,1,Yes,Net 60,3/16/2020
PO-000185,ITM-00659,SPL-0044,559,385.86,356.84,EUR,Pending,3,Yes,Net 60,3/16/2020
PO-000185,ITM-00659,SPL-0044,559,385.86,356.84,EUR,Pending,3,Yes,Net 60,3/16/2020
PO-000186,ITM-00318,SPL-0056,907,63.47,52.27,CNY,Delivered,6,Yes,Net 30,3/17/2020
PO-000187,ITM-00176,SPL-0013,953,133.73,121.3,MXN,Partially Delivered,3,Yes,Net 30,3/17/2020
PO-000188,ITM-00752,SPL-0100,170,263.29,257.76,EUR,Cancelled,1,Yes,Net 30,3/17/2020
PO-000189,ITM-00498,SPL-0096,364,383.56,341.42,INR,Partially Delivered,8,Yes,Net 30,3/18/2020
PO-000190,ITM-00443,SPL-0049,793,136.15,116.87,USD,Partially Delivered,2,Yes,Net 60,3/18/2020
PO-000191,ITM-00041,SPL-0087,39,112.04,110.61,MXN,Cancelled,3,Yes,Net 60,3/18/2020
PO-000192,ITM-00795,SPL-0095,431,90.8,88.92,EUR,Pending,8,Yes,Net 30,3/19/2020
PO-000193,ITM-00272,SPL-0010,605,346.9,286.71,EUR,Partially Delivered,6,Yes,Net 60,3/19/2020
PO-000193,ITM-00272,SPL-0010,605,346.9,286.71,EUR,Partially Delivered,6,Yes,Net 60,3/19/2020
PO-000194,ITM-00387,SPL-0035,70,238.75,224.85,EUR,Partially Delivered,7,Yes,Net 30,3/20/2020
PO-000195,ITM-00622,SPL-0069,279,18.5,17.39,USD,Partially Delivered,7,Yes,Net 30,3/20/2020
